"Part";"Value";"Device";"Package";"Description";"BOM";"COMMISSIONED";"FUNCTION";"PART_CODE_BEL";"PART_CODE_EXT";"UPDATED";
"C1203";"100n";"C_EU_S_0805";"S_0805";"drawn: Mario Blunk / Blunk electronic";"YES";"2013-08-30";"";"C_PAC_S_0805_VAL_100n";"";"";
"C1204";"100n";"C_EU_S_0805";"S_0805";"drawn: Mario Blunk / Blunk electronic";"YES";"2013-08-30";"";"C_PAC_S_0805_VAL_100n";"";"";
"C1301";"100n";"C_EU_S_0805";"S_0805";"drawn: Mario Blunk / Blunk electronic";"YES";"2013-08-30";"";"C_PAC_S_0805_VAL_100n";"";"";
"C1302";"1u";"C_POL_EU_T_RAD5_GRID_2.54";"T_RADIAL_5MM_GRID_2.54MM";"drawn: Mario Blunk / Blunk electronic";"YES";"2015-01-15";"";"C_PAC_T_RADIAL_5mm_GRID_2.54mm_VAL_1u_Vmax_50V";"";"";
"C1303";"10u";"C_POL_EU_T_RAD5_GRID_2.54";"T_RADIAL_5MM_GRID_2.54MM";"drawn: Mario Blunk / Blunk electronic";"YES";"2015-01-15";"";"C_PAC_T_RADIAL_5mm_GRID_2.54mm_VAL_10u_Vmax_35V";"";"";
"C1304";"100n";"C_EU_S_0805";"S_0805";"drawn: Mario Blunk / Blunk electronic";"YES";"2013-08-30";"";"C_PAC_S_0805_VAL_100n";"";"";
"C1305";"10u";"C_POL_EU_T_RAD5_GRID_2.54";"T_RADIAL_5MM_GRID_2.54MM";"drawn: Mario Blunk / Blunk electronic";"YES";"2015-01-15";"";"C_PAC_T_RADIAL_5mm_GRID_2.54mm_VAL_10u_Vmax_35V";"";"";
"C1306";"1u";"C_POL_EU_T_RAD5_GRID_2.54";"T_RADIAL_5MM_GRID_2.54MM";"drawn: Mario Blunk / Blunk electronic";"YES";"2015-01-15";"";"C_PAC_T_RADIAL_5mm_GRID_2.54mm_VAL_1u_Vmax_50V";"";"";
"D901";"BAT48";"SINGLE_T_DO204/10";"T_DO204";"edited: Mario Blunk / Blunk electronic";"YES";"2014-09-03";"";"D_PAC_T_DO204_GRID_10mm_VAL_BAT48";"";"";
"D902";"BAT48";"SINGLE_T_DO204/10";"T_DO204";"edited: Mario Blunk / Blunk electronic";"YES";"2014-09-03";"";"D_PAC_T_DO204_GRID_10mm_VAL_BAT48";"";"";
