"Part";"Value";"Device";"Package";"Description";"BOM";"COMMISSIONED";"FUNCTION";"PART_CODE_BEL";"PART_CODE_EXT";"UPDATED";
"R1401";"100";"R_EU_S_0805";"S_0805";"Resistor Device EU";"YES";"2013-08-30";"";"R_PAC_S_0805_VAL_100";"";"";
"R1402";"100";"R_EU_S_0805";"S_0805";"Resistor Device EU";"YES";"2013-08-30";"";"R_PAC_S_0805_VAL_100";"";"";
"R1403";"100";"R_EU_S_0805";"S_0805";"Resistor Device EU";"YES";"2013-08-30";"";"R_PAC_S_0805_VAL_100";"";"";
"RN101";"1k";"R_EU_ARRAY_1C_8_T_SIL9";"T_SIL9";"edited: Mario Blunk";"YES";"2014-10-14";"";"RN_PAC_T_SIL9_VAL_1k";"";"";
"RN201";"10k";"R_EU_ARRAY_1C_8_T_SIL9";"T_SIL9";"edited: Mario Blunk";"YES";"2014-10-14";"";"RN_PAC_T_SIL9_VAL_10k";"";"";
"RN401";"1k";"R_EU_ARRAY_1C_8_T_SIL9";"T_SIL9";"edited: Mario Blunk";"YES";"2014-10-14";"";"RN_PAC_T_SIL9_VAL_1k";"";"";
"RN402";"1k";"R_EU_ARRAY_1C_8_T_SIL9";"T_SIL9";"edited: Mario Blunk";"YES";"2014-10-14";"";"RN_PAC_T_SIL9_VAL_1k";"";"";
"RN1201";"10k";"R_EU_ARRAY_1C_8_T_SIL9";"T_SIL9";"edited: Mario Blunk";"YES";"2014-10-14";"";"RN_PAC_T_SIL9_VAL_10k";"";"";
"RN1202";"1k";"R_EU_ARRAY_1C_8_T_SIL9";"T_SIL9";"edited: Mario Blunk";"YES";"2014-10-14";"";"RN_PAC_T_SIL9_VAL_1k";"";"";
"RN1203";"1k";"R_EU_ARRAY_1C_8_T_SIL9";"T_SIL9";"edited: Mario Blunk";"YES";"2014-10-14";"";"RN_PAC_T_SIL9_VAL_1k";"";"";
"RN1301";"10k";"R_EU_ARRAY_1C_8_T_SIL9";"T_SIL9";"edited: Mario Blunk";"YES";"2014-10-14";"";"RN_PAC_T_SIL9_VAL_10k";"";"";
