"BILL OF MATERIAL";
"------------------------------";
"board:";"bom_created_by_eagle_ulp";

"created by";"STOCK MANAGER";"V010";
"contact:";"www.blunk-electronic.de";
"date:";"2015-08-03 14:49:25";"(YYYY-MM-DD HH:MM:SS)";

"part count SMD:";"58";
"part count THT:";"64";
"part count TOTAL:";"122";

"POS.";"QTY";"PART_NAME";"PART_CODE_BEL";"PART_ID";"MANUFACTURER / PART_CODE";"MANUFACTURER / PART_CODE";"MANUFACTURER / PART_CODE";"PRICE_NET_MIN";"PRICE_NET_MAX";
"31";"5";"RN101, RN401, RN402, RN1202, RN1203";"RN_PAC_T_SIL9_VAL_1k";"115";"BI TECHNOLOGIES / L 09-1S 2% 1 K";"n/a / n/a";"n/a / n/a";"0.45";"0.45";
"32";"3";"RN201, RN1201, RN1301";"RN_PAC_T_SIL9_VAL_10k";"114";"multicomp / MCRNLA09G0103B0E";"BI TECHNOLOGIES / L 09-1S 2% 10 K";"n/a / n/a";"0.27";"0.66";
"33";"6";"T1301, T1302, T1303, T1304, T1305, T1306";"T_PAC_S_SOT23_VAL_DMG3420U";"202";"DIODES/ZETEX / DMG3420U-7";"n/a / n/a";"n/a / n/a";"0.72";"0.90";
"34";"2";"X101, X102";"X_PAC_T_MALE_2X20_VERTICAL";"257";"molex / 10-89-7402";"n/a / n/a";"n/a / n/a";"4.60";"4.60";
"35";"1";"X201";"X_PAC_T_MALE_2X5_VERTICAL_2.54mm";"263";"molex / 10-89-7102";"n/a / n/a";"n/a / n/a";"0.67";"0.67";
"36";"1";"X301";"X_PAC_T_CLAMP_1X8_5mm";"240";"METZ-CONNECT / AST0250804";"n/a / n/a";"n/a / n/a";"1.18";"1.18";
"37";"2";"X601, X701";"X_PAC_T_MALE_2X13_VERTICAL_GRID_2.54mm";"254";"molex / 90131-0773";"n/a / n/a";"n/a / n/a";"2.16";"2.16";
"----------";"----------";"----------";"----------";"----------";"----------";"----------";"----------";"----------";"----------";
;;;;;;;;"98.92";"106.20";
"END OF BOM";
